"date","email_type","send_size_delivered","opens","clicks","open_rate","click_rate","cto_rate","number_companies","investments_1_day","investments_7_day","volume_1_day","volume_7_day","avg_investment_1_day","x1_day_volume_sends","investments_1_day_open","month","weekday"
2023-03-13,"Other",34228,7933,98,0.2318,0.0029,0.0124,1,0,1,0,2500,"$NaN",0,0,"Mar","Mon"
2023-03-14,"250k email",39646,8485,102,0.214,0.0026,0.012,1,0,0,0,0,"$NaN",0,0,"Mar","Tue"
2023-03-14,"250k email",10955,3423,70,0.3125,0.0064,0.0204,1,2,4,600,1050,"300.0",0.05,0.58,"Mar","Tue"
2023-03-14,"250k email",10979,3469,48,0.316,0.0044,0.0138,1,4,4,1550,1550,"387.5",0.14,1.15,"Mar","Tue"
2023-03-14,"Other",732,410,22,0.5601,0.0301,0.0537,0,0,0,0,0,"$NaN",0,0,"Mar","Tue"
2023-03-14,"250k email",40581,9974,133,0.2458,0.0033,0.0133,1,3,3,700,700,"233.33",0.02,0.3,"Mar","Tue"
2023-03-16,"Weekly Newsletter",617,365,20,0.5916,0.0324,0.0548,2,1,1,500,500,"500.0",0.81,2.74,"Mar","Thu"
2023-03-16,"Weekly Newsletter",911624,214958,7804,0.2358,0.0086,0.0363,17,60,145,39583,145878,"659.72",0.04,0.28,"Mar","Thu"
2023-03-17,"Other",41,14,0,0.3415,0,0,0,0,0,0,0,"$NaN",0,0,"Mar","Fri"
2023-03-20,"250k email",76612,22934,302,0.2994,0.0039,0.0132,1,10,13,4450,6750,"445.0",0.06,0.44,"Mar","Mon"
2023-03-20,"250k email",35539,17192,414,0.4838,0.0116,0.0241,1,26,34,108500,145600,"4173.08",3.05,1.51,"Mar","Mon"
2023-03-21,"Other",745,415,12,0.557,0.0161,0.0289,0,0,0,0,0,"$NaN",0,0,"Mar","Tue"
2023-03-21,"250k email",51537,12593,225,0.2443,0.0044,0.0179,1,14,17,7760,9960,"554.29",0.15,1.11,"Mar","Tue"
2023-03-22,"Other",28218,6199,115,0.2197,0.0041,0.0186,1,8,22,13150,39900,"1643.75",0.47,1.29,"Mar","Wed"
2023-03-23,"Weekly Newsletter",913074,210380,3594,0.2304,0.0039,0.0171,21,77,170,67570,220250,"877.53",0.07,0.37,"Mar","Thu"
2023-03-24,"Other",59,49,22,0.8305,0.3729,0.449,0,0,0,0,0,"$NaN",0,0,"Mar","Fri"
2023-03-27,"250k email",18589,6237,57,0.3355,0.0031,0.0091,1,0,0,0,0,"$NaN",0,0,"Mar","Mon"
2023-03-27,"250k email",18375,6270,72,0.3412,0.0039,0.0115,1,0,0,0,0,"$NaN",0,0,"Mar","Mon"
2023-03-28,"500k email",18058,4832,78,0.2676,0.0043,0.0161,1,4,7,400,900,"100.0",0.02,0.83,"Mar","Tue"
2023-03-28,"500k email",18217,4916,70,0.2699,0.0038,0.0142,1,4,9,1200,3500,"300.0",0.07,0.81,"Mar","Tue"
2023-03-28,"Other",907,535,54,0.5899,0.0595,0.1009,0,0,0,0,0,"$NaN",0,0,"Mar","Tue"
2023-03-28,"250k email",27062,8599,123,0.3178,0.0045,0.0143,1,1,7,1000,251900,"1000.0",0.04,0.12,"Mar","Tue"
2023-03-28,"250k email",26940,8566,114,0.318,0.0042,0.0133,1,3,5,1500,2750,"500.0",0.06,0.35,"Mar","Tue"
2023-03-29,"250k email",30125,14670,200,0.487,0.0066,0.0136,1,4,4,6100,6100,"1525.0",0.2,0.27,"Mar","Wed"
2023-03-29,"250k email",863620,198937,3038,0.2304,0.0035,0.0153,1,387,457,336358,767583,"869.14",0.39,1.95,"Mar","Wed"
2023-03-30,"Weekly Newsletter",853,473,27,0.5545,0.0317,0.0571,5,1,4,500,2400,"500.0",0.59,2.11,"Mar","Thu"
2023-03-30,"Weekly Newsletter",918066,225573,3837,0.2457,0.0042,0.017,28,116,168,80719,394495,"695.85",0.09,0.51,"Mar","Thu"
